Circuit Name,Country,Official Grand Prix Name,2018,2019,2020,2021,2022,2023,2024,2025,2026
Albert Park,Australia,Australian Grand Prix,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes
Bahrain International,Bahrain,Bahrain Grand Prix,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Shanghai Audi,China,Chinese Grand Prix,Yes,Yes,No,No,No,No,Yes,Yes,Yes
Baku City Circuit,Azerbaijan,Azerbaijan Grand Prix,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
Miami International,USA,Miami Grand Prix,No,No,No,No,Yes,Yes,Yes,Yes,Yes
Circuit de Barcelona,Spain,Spanish Grand Prix,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Circuit de Monaco,Monaco,Monaco Grand Prix,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
Circuit Gilles-Villeneuve,Canada,Canadian Grand Prix,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes
Red Bull Ring,Austria,Austrian Grand Prix,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Silverstone Circuit,UK,British Grand Prix,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Hungaroring,Hungary,Hungarian Grand Prix,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Spa-Francorchamps,Belgium,Belgian Grand Prix,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Circuit Zandvoort,Netherlands,Dutch Grand Prix,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
Autodromo Monza,Italy,Italian Grand Prix,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Marina Bay Street,Singapore,Singapore Grand Prix,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes
Suzuka Circuit,Japan,Japanese Grand Prix,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes
Circuit of the Americas,USA,United States Grand Prix,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
Autodromo Hermanos Rodriguez,Mexico,Mexico City Grand Prix,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
Autodromo Interlagos,Brazil,Sao Paulo Grand Prix,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
Las Vegas Strip,USA,Las Vegas Grand Prix,No,No,No,No,No,Yes,Yes,Yes,Yes
Lusail International,Qatar,Qatar Grand Prix,No,No,No,Yes,No,Yes,Yes,Yes,Yes
Yas Marina Circuit,UAE,Abu Dhabi Grand Prix,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Jeddah Corniche,Saudi Arabia,Saudi Arabian Grand Prix,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
Imola,Italy,Emilia Romagna Grand Prix,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes
Paul Ricard,France,French Grand Prix,Yes,Yes,No,Yes,Yes,No,No,No,No